Business Name,Address,Services,Link,Logo (use insert image),MOB Approved,Lat (will add later) ,Long (will add later) 
Open Outcry Brewing Company,"10934 S Western Ave, Chicago, IL 60643","Pints, flights & cocktails pair with Neapolitan-style pizza in a funky warehouse setting.",openoutcrybrewing.com,,,,
Amplify7,1321 West 119th Street Chicago Illinois 60643,"Advertising, Marketing & Media.",http://amplify7.com/,,,,
Two Mile Coffee Bar,"1766 W 95th St, Chicago, IL 60643",Specialty Coffee Bar,https://www.twomilecoffee.com/,,,,
Him + Her Vintage,,,,,,,
Horse Thief Hollow Brewing Company,"10426 S Western Ave, Chicago, IL 60643","Casual, rustic spot featuring house-brewed beers, regional wines & spirits plus gastropub eats.",horsethiefbrewing.com,,,,
AndySunflower Café,"9920 S Western Ave, Chicago, IL 60643",,https://www.andysunflowercafe.com/,,,,
Everything's Relative Salon,"10548 S Western Ave, Chicago, IL 60643",Beauty salon,everythingsrelativesalon.com,,,,
Turkey,,,,,,,
Double Dutch Sour Dough,,,,,,,
Lauren Barrett - State Farm,,,,,,,
Kaitlyn Simon Long Fitness,,,,,,,
Christine Sheets Birth Services,,,,,,,
Mirjam Quinn & Associates,,,,,,,
Beverly Therapists,,,,,,,
Tattoo Avenue,,,,,,,
Malone Art Decor,,,,,,,